タイムスタンプ,あなたの年齢層を教えて下さい,あなたは学生ですか？それとも社会人ですか？,あなたの性別を教えて下さい,あなたには一ヶ月内遅刻の経験がどれぐらいありますか（仕事・授業）？,自分自身が遅刻が多いとおもわれますか？,遅刻したや遅刻しそうな時はどうやって対応しますか？,あなたはどうやって遅刻しないのですか？,プロジェクト等長い時間が必要な活動に参加する時、どんなやり方で参加する？,先述べた活動で、一人でやる時と複数の人とチーム組んでやる時は、時間管理は同じですか？,他の人とチーム組む時、自分自身の時間管理はどう思いますか？,翌日が仕事の場合は夜遅くまで娯楽したことありますか？
2015/11/02 13:14:06,５０歳以上,社会人,男,一ヶ月に遅刻なし,少ない,,間に合うように時間設定する,予定通りにやる,ケースバイケース,他の人と同じ,あります
2015/11/02 13:25:04,１０歳～２０歳,学生,男,一ヶ月に１０回以上,多い,いっそ出席しない,,提出や完成最終日直前でやる,チームじゃないと効率ない,他の人より効率低い,あります
2015/11/02 17:02:42,１０歳～２０歳,学生,男,一ヶ月に２回以内,少ない,,アラームを使う,予定通りにやる,チームを組むときの効率も高いが、一人でもっと高い,他の人より効率低い,ありません
2015/11/02 18:01:56,５０歳以上,社会人,女,一ヶ月に遅刻なし,少ない,,アラームを使う,予定通りにやる,一人のときの効率も高いが、チームでもっと高い,他の人より効率高い,あります
2015/11/02 22:29:49,３０歳～４０歳,社会人,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,予定通りにやる,チームを組むときの効率も高いが、一人でもっと高い,他の人より効率高い,ありません
2015/11/03 15:32:14,２０歳～３０歳,学生,男,一ヶ月に３～５回,多い,遅延証もらってから出席,,始まったら一気にやる,一人のときの効率も高いが、チームでもっと高い,他の人と同じ,あります
2015/11/05 13:30:36,２０歳～３０歳,社会人,男,一ヶ月に５～１０回,多い,いっそ出席しない,,マイペースでやる,一人のときの効率も高いが、チームでもっと高い,他の人より効率高い,あります
2015/11/05 13:41:00,３０歳～４０歳,社会人,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,予定通りにやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,ありません
2015/11/05 13:48:38,１０歳～２０歳,学生,女,一ヶ月に２回以内,多い,そのまま出席し、正直に謝る,,予定通りにやる,チームじゃないと効率ない,他の人と同じ,あります
2015/11/05 13:56:17,５０歳以上,定年,男,一ヶ月に２回以内,少ない,,いつも時間を意識している,マイペースでやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,ありません
2015/11/05 13:59:43,１０歳～２０歳,学生,男,一ヶ月に遅刻なし,少ない,,いつも時間を意識している,始まったら一気にやる,チームを組むときの効率も高いが、一人でもっと高い,他の人より効率高い,ありません
2015/11/05 14:04:42,４０歳～５０歳,社会人,男,一ヶ月に２回以内,少ない,,アラームを使う,始まったら一気にやる,チームを組むときの効率も高いが、一人でもっと高い,他の人より効率高い,あります
2015/11/05 14:05:44,２０歳～３０歳,社会人,男,一ヶ月に遅刻なし,少ない,,アラームを使う,始まったら一気にやる,一人の時効率高い、チームを組むと効率低い,他の人より効率高い,あります
